store,phone,street,city,state,zipCode,isOpen,storeTime,latitude,longitude,carryoutEta,deliveryEta
1028,313-831-2100,5564 Woodward Avenue,Detroit,MI,48202,False,2022-12-27 05:23:21,42.361946,-83.066836,15-25,15-25
1050,734-722-3030,35171 E Michigan Ave,Wayne,MI,48184,False,2022-12-27 05:23:22,42.278787,-83.38543,20-30,20-30
1070,810-379-9500,825 South State Rd,Davison,MI,48423,False,2022-12-27 05:23:22,43.020961,-83.51656,15-25,15-25
1008,248-471-0594,30336 W. 9 Mile Rd,Farmington Hills,MI,48336,False,2022-12-27 05:23:21,42.455853,-83.346415,15-30,15-30
1078,248-864-5777,28651 Southfield Rd,Lathrup Village,MI,48076,False,2022-12-27 05:23:22,42.500058,-83.222601,20-30,20-30
1014,734-422-2100,16136 Middlebelt Road,Livonia,MI,48154,False,2022-12-27 05:23:21,42.4059,-83.3348,30-40,30-40
1012,734-933-6000,14100 Fort Street,Southgate,MI,48195,False,2022-12-27 05:23:22,42.205578,-83.180831,12-22,12-22
1068,248-352-6590,29854 Northwestern Highway,Southfield,MI,48034,False,2022-12-27 05:23:22,42.50705,-83.318417,20-30,20-30
1040,734-844-6000,44350 Cherry Hill Road,Canton,MI,48187,False,2022-12-27 05:23:22,42.3077,-83.4765,23-28,23-28
1085,734-655-0965,27609 Plymouth Road,Livonia,MI,48150,False,2022-12-27 05:23:22,42.369254,-83.315445,12-22,12-22
1010,248-349-9101,41728 West 10 Mile Road,Novi,MI,48375,False,2022-12-27 05:23:21,42.468774,-83.456935,13-23,13-23
1035,313-915-4544,3535 Cannif St,Hamtramck,MI,48212,False,2022-12-27 05:23:22,42.402495,-83.052896,30-40,30-40
1025,313-637-1010,23960 Carlysle St,Dearborn,MI,48124,False,2022-12-27 05:23:21,42.283439,-83.270511,12-22,12-22
1059,313-962-9100,535 Griswold St. Suite 101,Detroit,MI,48226,False,2022-12-27 05:23:22,42.329356,-83.046318,20-30,20-30
1054,248-716-5551,10531 Highland Road,White Lake,MI,48386,False,2022-12-27 05:23:22,42.650376,-83.494255,15-25,15-25
1081,248-617-1500,22235 Pontiac Trail,South Lyon,MI,48178,False,2022-12-27 05:23:22,42.444381,-83.651475,30-40,30-40
1090,313-633-0945,7603 W Vernor Ave,Detroit,MI,48209,False,2022-12-27 05:23:22,42.312956,-83.123051,14-24,14-24
1005,248-689-8800,3843 Rochester Rd,Troy,MI,48083,False,2022-12-27 05:23:21,42.575,-83.128927,12-22,12-22
1022,734-655-9223,30068 Ford Rd,Garden City,MI,48135,False,2022-12-27 05:23:22,42.325881,-83.337809,12-22,12-22
1034,313-884-9750,20431 Mack Ave,Grosse Pointe,MI,48236,False,2022-12-27 05:23:21,42.4395,-82.9079,19-29,19-29
1077,586-264-9200,2767 Fourteen Mile Road,Sterling Heights,MI,48310,False,2022-12-27 05:23:22,42.535053,-83.078967,14-24,14-24
1098,989-403-7575,101 N. Clinton Ave.,St. Johns,MI,48879,False,2022-12-27 05:23:23,43.001646,-84.558826,20-30,20-30
1065,248-534-1151,4048 Grange Hall Road,Holly,MI,48442,False,2022-12-27 05:23:22,42.806327,-83.625009,15-25,15-25
1046,248-652-9910,121 East University,Rochester,MI,48307,False,2022-12-27 05:23:22,42.6822,-83.1329,20-30,20-30
1041,734-207-1000,40420 Five Mile Rd.,Northville,MI,48170,False,2022-12-27 05:23:22,42.395657,-83.443344,40-50,40-50
1071,517-787-0505,1236 Francis St,Jackson,MI,49203,False,2022-12-27 05:23:22,42.23345,-84.403764,14-24,14-24
1114,517-263-0678,1113 West Beecher,Adrian,MI,49221,False,2022-12-27 05:23:23,41.8892,-84.0561,20-30,20-30
1079,248-630-9004,2795 University Drive,Auburn Hills,MI,48326,False,2022-12-27 05:23:22,42.670131,-83.233325,20-30,20-30
1016,734-333-9633,9567 Main St,Whitmore Lake,MI,48189,False,2022-12-27 05:23:22,42.423138,-83.761781,30-40,30-40
1100,734-663-3333,2601 Plymouth Rd Traver Village Shopping Center Facing Plymouth Rd,Ann Arbor,MI,48105,False,2022-12-27 05:23:23,42.302482,-83.709537,52-67,52-67
1101,734-482-5555,953 Washtenaw Ave,Ypsilanti,MI,48197,False,2022-12-27 05:23:23,42.246,-83.6278,15-25,15-25
1094,810-355-4935,222 Grand River Ave,Brighton,MI,48116,False,2022-12-27 05:23:23,42.530718,-83.780911,14-24,14-24
1107,734-944-4555,401 E Michigan Ave,Saline,MI,48176,False,2022-12-27 05:23:23,42.1702,-83.7742,15-30,15-30
1031,586-254-4330,8771 Hall Road,Utica,MI,48317,False,2022-12-27 05:23:21,42.626303,-83.023984,45-50,45-50
1117,734-528-1111,4910 Washtenaw Avenue,Ann Arbor,MI,48108,False,2022-12-27 05:23:23,42.2504,-83.6631,15-25,15-25
